86,서울내발산초등학교,도서 정리원,계약직,시급,12030,서울특별시 강서구 강서로46길 23 (내발산동),"공사,공공",서울남부지사,126.8379293,37.5516265
87,위메이드커넥트,안마사,계약직,월급,2000000,경기도 성남시 분당구 대왕판교로644번길 49 위메이드타워 3층 (삼평동),중소,서울북부지사,127.1123123,37.4001662
88,SK렌터카서비스,환경 미화원,계약직,월급,1200000,서울특별시 강남구 봉은사로 503  (삼성동),대기업,서울북부지사,127.0538141,37.5135198
89,사단법인한국장애인환경지킴이실천협회사업총괄본부아이드리마,총무 및 일반 사무원,상용직,시급,9620,경기도 남양주시 별내면 청학로중앙길 41 1층 102호,"협회,단체",서울북부지사,127.1151593,37.7091417
90,사회복지법인 광명,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,9620,전라남도 영암군 삼호읍 신호정길 43-17 사회복지법인 광명,"협회,단체",전남지사,126.4791801,34.7571327
91,(주)하나종합관리,아파트 전기관리원,계약직,월급,3050000,"경상남도 김해시 삼문로 19 (대청동,대암월드피아빌딩 8층) (대청동)",중소,경남지사,128.8027796,35.1928132
92,(주)인플럭스,LED 부품·제품 조립·검사원,상용직,시급,9620,경기도 화성시 팔탄면 터넉골로120번길 13-66 (고주리),중소,경기지역본부,126.8822302,37.1375084
93,다정,주방 보조원(일반 음식점),상용직,월급,1004000,전라북도 완주군 용진읍 신지암로 45 다정레스토랑,중소,전북지사,127.171411,35.9088283
94,너울가지,음료 조리사(바리스타 포함),상용직,시급,9620,전라남도 여수시 만성로 173 (미평동) 너울가지,"협회,단체",전남지사,127.7147967,34.7732439
95,한국지능정보사회진흥원,사무 보조원(공공기관),계약직,월급,2050000,대구광역시 동구 첨단로 53 (신서동),"공사,공공",대구지역본부,128.7298942,35.8810084
96,주식회사 반들,세차원 및 운송장비 청소원,상용직,시급,9620,대구광역시 남구 이천로 63 (봉덕동),중소,대구지역본부,128.5980344,35.8469176
97,(주)신진화학,자동차 부분품 조립·검사원,상용직,시급,9620,인천광역시 남동구 능허대로625번길 35 남동공단 136B 4L 신진화학(주) (고잔동),중소,인천지사,126.6828507,37.3928869
98,앰코테크놀로지코리아(주),전기·전자 분야 단순 종사원,계약직,월급,1380000,인천광역시 계양구 아나지로 110 (효성동),대기업,인천지사,126.7044059,37.5251138
99,(주)유안에이치알,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",계약직,월급,1500000,서울특별시 강남구 봉은사로 215 13층 (논현동),중소,인천지사,127.0355743,37.5081023
100,(주)천우굿프랜즈,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,인천광역시 남동구 호구포로 50 엘아이지식산업센터 225호,중소,인천지사,126.7007817,37.3891176
101,(주)승보산업,자동차 부분품 조립·검사원,상용직,시급,9620,광주광역시 광산구 평동산단2번로 42 (용동),중소,광주지역본부,126.7542974,35.1325973
102,효다움요양병원,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,9620,광주광역시 남구 송암로98번길 36-10 (송하동),중소,광주지역본부,126.8772505,35.1160591
103,(주)농협하나로유통 ,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",상용직,시급,9620,광주광역시 광산구 임방울대로 261  (신가동),중소,광주지역본부,126.8186674,35.1850325
104,(사)힘찬장애인복지회,사무 보조원(일반사업체),상용직,월급,2200000,"광주광역시 광산구 평동산단로143번길 16 (월전동, 마)",중소,광주지역본부,126.7667527,35.1201099
105,(주)유도,안마사,상용직,월급,2200000,경기도 화성시 팔탄면 서해로 1112 (구장리),중소,경기지역본부,126.8930013,37.1607203
106,(주)제우스,음료 조리사(바리스타 포함),계약직,시급,10000,경기도 화성시 안녕남로 132 (안녕동),대기업,경기지역본부,126.9957714,37.1953019
107,삼성웰스토리(주),단체 급식 보조원,계약직,시급,9620,경기도 성남시 분당구 구미로 8 (구미동),대기업,경기지역본부,127.1097463,37.3376342
108,주식회사우리제지,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,월급,2011000,경기도 화성시 정남면 보통내길 82-13 (주)우리제지,중소,경기지역본부,126.9737051,37.1847633
109,포항여자전자고등학교,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),계약직,시급,9620,경상북도 포항시 북구 용흥로291번길 19 (용흥동),"공사,공공",경북지사,129.3496258,36.0504292
110,한국석유공사,직업 운동선수,계약직,월급,1412838,울산광역시 중구 종가로 305 (우정동) 한국석유공사 인재개발처.,"공사,공공",울산지사,129.3086733,35.5650223
111,에너지경제연구원,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",상용직,연봉,27000000,울산광역시 중구 종가로 405-11 (성안동),"공사,공공",울산지사,129.3197832,35.5680083
112,영남산업(주),기계·금속 분야 단순 종사원,상용직,시급,9620,경상남도 양산시 산막공단북9길 81  (산막동),중소,울산지사,129.0614823,35.3736435
113,우성워싱웨이,세탁원(다림질원),상용직,시급,9620,경상남도 양산시 주남로 101-20 (주남동),개인,울산지사,129.1588156,35.4196027
114,(주)더가디언스,보안 관제원(경비 관제원),계약직,월급,2645000,"서울특별시 중구 필동로 12 202호 (필동2가,동영빌딩)",중소,서울지역본부,126.9957214,37.5605897
115,(주)케이디텍,보안 관제원(경비 관제원),상용직,시급,9620,서울특별시 영등포구 영등포로5길 19  (양평동2가),중소,서울지역본부,126.8841998,37.5241091
116,인헌중학교,"기타 건물 관리원(공원, 종교시설 등)",계약직,시급,12030,서울특별시 관악구 인헌9길 35 (봉천동),"공사,공공",서울남부지사,126.9693249,37.4731894
117,주식회사케이앤웍스,모니터 요원,계약직,월급,1145840,제주특별자치도 제주시 연북로 25 (노형동),중소,서울남부지사,126.4840054,33.4822996
118,(주)한국전기시스템,사무 보조원(일반사업체),계약직,월급,2200000,서울특별시 구로구 중앙로3길 12 212호(고척동),중소,서울남부지사,126.862953,37.5002245
119,효원의료재단분사무소자연요양병원,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,9620,부산광역시 사하구 장평로 1 (장림동) (장림동),중소,부산지역본부,128.9771391,35.0686092
120,부산커피협동조합,음료 조리사(바리스타 포함),시간제,시급,9620,부산광역시 남구 황령대로319번가길 53 (대연동),중소,부산지역본부,129.090381,35.1518094
121,서울특별시강동구도시관리공단,환경 미화원,계약직,시급,11150,"서울특별시 강동구 양재대로 1584 4, 5층(명일동, 동산빌딩)",중소,서울동부지사,127.1436405,37.5470347
122,정해복지부설한신메디피아의원,화가 및 조각가,계약직,월급,1240000,서울특별시 서초구 잠원로 94 한신빌딩 2층 한신메디피아,중소,서울동부지사,127.0068701,37.5127259
123,(주)플러스기획,공예원,계약직,월급,1010100,서울특별시 강서구 양천로 401 강서한강자이타워 1209호 (가양동),중소,서울동부지사,126.8476921,37.5656521
124,에이치앤엠헤네스앤모리츠 주식회사,매장 정리원(매장 보조원),상용직,시급,11544,서울특별시 종로구 종로 51 17층 (종로2가),중소,서울동부지사,126.9836385,37.5707534
125,콘센트릭스서비스코리아 유한회사,회계 사무원(회계·세무 사무소),상용직,월급,2110580,서울특별시 강남구 테헤란로 509  (삼성동),중소,서울동부지사,127.0582386,37.5077819
